Key	Item Type	Publication Year	Holiday	latitude	longitude	Author	Title	Publication Title	ISBN	ISSN	DOI	Url	Abstract Note	Date	Date Added	Date Modified	Access Date	Pages	Num Pages	Issue	Volume	Number Of Volumes	Journal Abbreviation	Short Title	Series	Series Number	Series Text	Series Title	Publisher	Place	Language	Rights	Type	Archive	Archive Location	Library Catalog	Call Number	Extra	Notes	File Attachments	Link Attachments	Manual Tags	Automatic Tags	Editor	Series Editor	Translator	Contributor	Attorney Agent	Book Author	Cast Member	Commenter	Composer	Cosponsor	Counsel	Interviewer	Producer	Recipient	Reviewed Author	Scriptwriter	Words By	Guest	Number	Edition	Running Time	Scale	Medium	Artwork Size	Filing Date	Application Number	Assignee	Issuing Authority	Country	Meeting Name	Conference Name	Court	References	Reporter	Legal Status	Priority Numbers	Programming Language	Version	System	Code	Code Number	Section	Session	Committee	History	Legislative Body
GBTJ6UJI	newspaperArticle	1862	Jewish New Year	38.804836	-77.046921		Jewish New Year	Alexandria Gazette		1946-6153		http://chroniclingamerica.loc.gov/lccn/sn85025007/1862-09-26/ed-1/seq-2/#date1=1836&index=1&rows=20&searchType=advanced&language=&sequence=0&words=Jewish+New+Year&proxdistance=5&date2=1865&ortext=&proxtext=&phrasetext=jewish+new+year&andtext=&dateFilterType=range&page=1		1862-09-26	6/21/16 20:48	6/21/16 20:49	6/21/16 20:48													"Alexandria, Virginia"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1862_Alexandria gazette_2.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/XM8W6MT3/seq-2.html			Alexandria County (Va.)--Newspapers.; Alexandria (Va.)--Newspapers.; Virginia--Alexandria County.--fast--(OCoLC)fst01225052; Virginia--Alexandria.--fast--(OCoLC)fst01206236																																														
RHQIEHZG	newspaperArticle	1860	Jewish New Year	40.063962	-80.720915		Jewish New Year	Daily Intelligencer		2333-8563		http://chroniclingamerica.loc.gov/lccn/sn84026845/1860-09-18/ed-1/seq-3/#date1=1836&index=2&rows=20&searchType=advanced&language=&sequence=0&words=Jewish+New+Year&proxdistance=5&date2=1865&ortext=&proxtext=&phrasetext=jewish+new+year&andtext=&dateFilterType=range&page=1		1860-09-18	6/21/16 20:49	6/21/16 20:49	6/21/16 20:49													"Wheeling, West Virginia"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1860_Daily intelligencer_5.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/2AW63CU2/seq-3.html			Ohio County (W. Va.)--Newspapers.; West Virginia--Ohio County.--fast--(OCoLC)fst01224107; West Virginia--Wheeling.--fast--(OCoLC)fst01213675; Wheeling (W. Va.)--Newspapers.																																														
6MAVJS7B	newspaperArticle	1861	Jewish New Year	47.037874	-122.900695		[Rosh Hashana Notice]	Washington Standard		2379-7339		http://chroniclingamerica.loc.gov/lccn/sn84022770/1861-09-14/ed-1/seq-2/#date1=1836&index=3&rows=20&searchType=advanced&language=&sequence=0&words=Jewish+New+Year&proxdistance=5&date2=1865&ortext=&proxtext=&phrasetext=jewish+new+year&andtext=&dateFilterType=range&page=1		1861-09-14	6/21/16 20:51	6/22/16 17:05	6/21/16 20:51													"Olympia, Washington"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1861_Washington standard.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/7TUREM3U/seq-2.html			Olympia (Wash.)--Newspapers.; Washington (State)--Olympia.--fast--(OCoLC)fst01206098																																														
J93RG3HF	newspaperArticle	1863	Jewish New Year	41.343655	-86.309728		Jewish New Year	Marshall County Republican		2328-7756		http://chroniclingamerica.loc.gov/lccn/sn84038034/1863-09-10/ed-1/seq-3/#date1=1836&index=4&rows=20&searchType=advanced&language=&sequence=0&words=Jewish+New+Year&proxdistance=5&date2=1865&ortext=&proxtext=&phrasetext=jewish+new+year&andtext=&dateFilterType=range&page=1		1863-09-10	6/21/16 20:51	6/21/16 20:52	6/21/16 20:51													"Plymouth, Indiana"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1863_Marshall County Republican.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/A8HJFM7J/seq-3.html			Indiana--Plymouth.--fast--(OCoLC)fst01218147; Plymouth (Ind.)--Newspapers.																																														
K8EQIKAQ	newspaperArticle	1859	Jewish New Year	41.49932	-81.694361		The Jewish New Year	Cleveland Morning Leader		2166-1855		http://chroniclingamerica.loc.gov/lccn/sn83035143/1859-09-30/ed-1/seq-2/#date1=1836&index=5&rows=20&searchType=advanced&language=&sequence=0&words=Jewish+New+Year&proxdistance=5&date2=1865&ortext=&proxtext=&phrasetext=jewish+new+year&andtext=&dateFilterType=range&page=1		1859-09-30	6/21/16 20:52	6/21/16 20:52	6/21/16 20:52													"Cleveland, Ohio"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1859_Cleveland morning leader_2.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/SSDA7MQD/seq-2.html			Cleveland (Ohio)--Newspapers.; Cuyahoga County (Ohio)--Newspapers.; Ohio--Cleveland.--fast--(OCoLC)fst01205966; Ohio--Cuyahoga County.--fast--(OCoLC)fst01202752																																														
NADT8W65	newspaperArticle	1865	Jewish New Year	40.272845	-80.996763		Jewish New Year	The Cadiz Sentinel		2379-1411		http://chroniclingamerica.loc.gov/lccn/sn85034406/1865-09-27/ed-1/seq-3/#date1=1836&index=7&rows=20&searchType=advanced&language=&sequence=0&words=Jewish+New+Year&proxdistance=5&date2=1865&ortext=&proxtext=&phrasetext=jewish+new+year&andtext=&dateFilterType=range&page=1		1865-09-27	6/21/16 20:53	6/21/16 20:53	6/21/16 20:53													"Cadiz, Ohio"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1865_The Cadiz sentinel.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/DAEBDHDQ/seq-3.html			Cadiz (Ohio)--Newspapers.; Ohio--Cadiz.--fast--(OCoLC)fst01232209																																														
8HW894BS	newspaperArticle	1860	Jewish New Year	37.971559	-87.57109		[Rosh Hashana Notice]	The Evansville Daily Journal		2381-3210		http://chroniclingamerica.loc.gov/lccn/sn82015672/1860-09-19/ed-1/seq-1/#date1=1836&index=8&rows=20&searchType=advanced&language=&sequence=0&words=Jewish+New+Year&proxdistance=5&date2=1865&ortext=&proxtext=&phrasetext=jewish+new+year&andtext=&dateFilterType=range&page=1		1860-09-19	6/21/16 20:53	6/22/16 17:05	6/21/16 20:53													"Evansville, Indiana"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1860_The Evansville daily journal.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/UDU873HV/seq-1.html			Evansville (Ind.)--Newspapers.; Indiana--Evansville.--fast--(OCoLC)fst01213859																																														
S5GXTBH5	newspaperArticle	1859	Jewish New Year	39.103118	-84.51202		[Rosh Hashana Notice]	The Penny Press		2330-6122		http://chroniclingamerica.loc.gov/lccn/sn85025750/1859-09-29/ed-1/seq-3/#date1=1836&index=9&rows=20&searchType=advanced&language=&sequence=0&words=Jewish+New+New-Year+Year&proxdistance=5&date2=1865&ortext=&proxtext=&phrasetext=jewish+new+year&andtext=&dateFilterType=range&page=1		1859-09-29	6/21/16 20:54	6/22/16 17:06	6/21/16 20:54													"Cincinnati, Ohio"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1859_The penny press.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/8GR7PRM7/seq-3.html			Cincinnati (Ohio)--Newspapers.; Ohio--Cincinnati.--fast--(OCoLC)fst01205142																																														
DR9B688H	newspaperArticle	1852	Jewish New Year	37.540725	-77.436048		[Rosh Hashana Notice]	The Daily Dispatch		2157-1260		http://chroniclingamerica.loc.gov/lccn/sn84024738/1852-09-17/ed-1/seq-2/#date1=1836&index=10&rows=20&searchType=advanced&language=&sequence=0&words=Jewish+New+Year&proxdistance=5&date2=1865&ortext=&proxtext=&phrasetext=jewish+new+year&andtext=&dateFilterType=range&page=1		1852-09-17	6/21/16 20:54	6/22/16 17:06	6/21/16 20:54													"Richmond, Virginia"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1852_The daily dispatch_2.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/ZBFRIDRE/seq-2.html			Richmond (Va.)--Newspapers.; Virginia--Richmond.--fast--(OCoLC)fst01205345																																														
8GBDSU5P	newspaperArticle	1854	Jewish New Year	37.540725	-77.436048		Jewish New Year	The Daily Dispatch		2157-1260		http://chroniclingamerica.loc.gov/lccn/sn84024738/1854-09-23/ed-1/seq-2/#date1=1836&index=11&rows=20&searchType=advanced&language=&sequence=0&words=Jewish+New+Year&proxdistance=5&date2=1865&ortext=&proxtext=&phrasetext=jewish+new+year&andtext=&dateFilterType=range&page=1		1854-09-23	6/21/16 20:55	6/21/16 20:55	6/21/16 20:55													"Richmond, Virginia"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1854_The daily dispatch_2.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/IV2SDPU2/seq-2.html			Richmond (Va.)--Newspapers.; Virginia--Richmond.--fast--(OCoLC)fst01205345																																														
