Key	Item Type	Publication Year	Holiday	latitude	longitude	Author	Title	Publication Title	ISBN	ISSN	DOI	Url	Abstract Note	Date	Date Added	Date Modified	Access Date	Pages	Num Pages	Issue	Volume	Number Of Volumes	Journal Abbreviation	Short Title	Series	Series Number	Series Text	Series Title	Publisher	Place	Language	Rights	Type	Archive	Archive Location	Library Catalog	Call Number	Extra	Notes	File Attachments	Link Attachments	Manual Tags	Automatic Tags	Editor	Series Editor	Translator	Contributor	Attorney Agent	Book Author	Cast Member	Commenter	Composer	Cosponsor	Counsel	Interviewer	Producer	Recipient	Reviewed Author	Scriptwriter	Words By	Guest	Number	Edition	Running Time	Scale	Medium	Artwork Size	Filing Date	Application Number	Assignee	Issuing Authority	Country	Meeting Name	Conference Name	Court	References	Reporter	Legal Status	Priority Numbers	Programming Language	Version	System	Code	Code Number	Section	Session	Committee	History	Legislative Body
G4C4H9X9	newspaperArticle	1865	Day of Atonement	38.804836	-77.046921		The Jewish Day of Atonement	Alexandria Gazette		1946-6153		http://chroniclingamerica.loc.gov/lccn/sn85025007/1865-09-30/ed-1/seq-2/#date1=1836&index=0&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=Kippur+Yom&proxdistance=5&state=&rows=20&ortext=&proxtext=&phrasetext=yom+kippur&andtext=&dateFilterType=range&page=1		1865-09-30	6/20/16 20:14	6/20/16 20:17	6/20/16 20:14													"Alexandria, Virginia"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1865_Alexandria gazette_2.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/64THA7EK/seq-2.html			Alexandria County (Va.)--Newspapers.; Alexandria (Va.)--Newspapers.; Virginia--Alexandria County.--fast--(OCoLC)fst01225052; Virginia--Alexandria.--fast--(OCoLC)fst01206236																																														
UD7T4A9V	newspaperArticle	1865	Day of Atonement	39.758948	-84.191607		Jewish Festival	Dayton Daily Empire		2327-1493		http://chroniclingamerica.loc.gov/lccn/sn85026002/1865-09-29/ed-1/seq-3/#date1=1836&index=1&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=Kippur+Yom&proxdistance=5&state=&rows=20&ortext=&proxtext=&phrasetext=yom+kippur&andtext=&dateFilterType=range&page=1		1865-09-29	6/20/16 20:18	6/20/16 20:34	6/20/16 20:18													"Dayton, Ohio"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1865_Dayton daily empire.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/PHKGZNCM/seq-3.html			Dayton (Ohio)--Newspapers.; Ohio--Dayton.--fast--(OCoLC)fst01204702																																														
TMIX9GCJ	newspaperArticle	1865	Day of Atonement	39.290385	-76.612189		[Yom Kippur Notice]	Baltimore Daily Commercial		2378-0444		http://chroniclingamerica.loc.gov/lccn/sn83009569/1865-10-02/ed-1/seq-1/#date1=1836&index=4&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=Kippur+Yom&proxdistance=5&state=&rows=20&ortext=&proxtext=&phrasetext=yom+kippur&andtext=&dateFilterType=range&page=1		1865-10-02	6/20/16 20:34	6/20/16 20:35	6/20/16 20:34													"Baltimore, Maryland"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1865_Baltimore daily commercial_2.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/5NAWIH55/seq-1.html			Baltimore (Md.)--Newspapers.; Maryland--Baltimore.--fast--(OCoLC)fst01204292																																														
IJZ9KXPU	newspaperArticle	1865	Day of Atonement	40.712784	-74.005941		The Day of Atonement	New-York Daily Tribune		2158-2661		http://chroniclingamerica.loc.gov/lccn/sn83030213/1865-09-29/ed-1/seq-8/#date1=1836&index=3&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=Kippur+Yom&proxdistance=5&state=&rows=20&ortext=&proxtext=&phrasetext=yom+kippur&andtext=&dateFilterType=range&page=1		1865-09-29	6/20/16 20:35	6/20/16 20:36	6/20/16 20:35	8												"New York, N.Y"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1865_New-York daily tribune.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/UXKHMARJ/seq-8.html			New York County (N.Y.)--Newspapers.; New York (N.Y.)--Newspapers.; New York (State)--New York County.--fast--(OCoLC)fst01234953; New York (State)--New York.--fast--(OCoLC)fst01204333																																														
WDH5NRZR	newspaperArticle	1853	Day of Atonement	40.063962	-80.720915		The Jewish Ceremonies	Wheeling Daily Intelligencer		2333-858X		http://chroniclingamerica.loc.gov/lccn/sn86092535/1853-10-14/ed-1/seq-3/#date1=1836&index=2&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=Kippur+Yom&proxdistance=5&state=&rows=20&ortext=&proxtext=&phrasetext=yom+kippur&andtext=&dateFilterType=range&page=1		1853-10-14	6/20/16 20:36	6/20/16 20:37	6/20/16 20:36													"Wheeling, West Virginia"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1853_Wheeling daily intelligencer_2.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/EKS2PSAZ/seq-3.html			Ohio County (W. Va.)--Newspapers.; West Virginia--Ohio County.--fast--(OCoLC)fst01224107; West Virginia--Wheeling.--fast--(OCoLC)fst01213675; Wheeling (W. Va.)--Newspapers.																																														
HCXP9PJD	newspaperArticle	1854	Day of Atonement	37.540725	-77.436048		Day of Atonement (Yom Kipur)	The Daily Dispatch		2157-1260		http://chroniclingamerica.loc.gov/lccn/sn84024738/1854-09-30/ed-1/seq-2/#date1=1836&index=0&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=Kipur+Yom&proxdistance=5&state=&rows=20&ortext=&proxtext=&phrasetext=yom+kipur&andtext=&dateFilterType=range&page=1		1854-09-30	6/20/16 20:46	6/20/16 20:47	6/20/16 20:46													"Richmond, Virginia"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1854_The daily dispatch.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/ZQQG29UG/seq-2.html			Richmond (Va.)--Newspapers.; Virginia--Richmond.--fast--(OCoLC)fst01205345																																														
DDU8X86A	newspaperArticle	1855	Day of Atonement	40.712784	-74.005941		The Hebrew Day of Atonement	The New York Herald		None		http://chroniclingamerica.loc.gov/lccn/sn83030313/1855-09-23/ed-1/seq-4/#date1=1836&index=1&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=Kipur+Yom&proxdistance=5&state=&rows=20&ortext=&proxtext=&phrasetext=yom+kipur&andtext=&dateFilterType=range&page=1		1855-09-23	6/20/16 20:47	6/20/16 20:47	6/20/16 20:47	4												"New York, N.Y"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1855_The New York herald.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/5X8KSDRR/seq-4.html			New York County (N.Y.)--Newspapers.; New York (N.Y.)--Newspapers.; New York (State)--New York County.--fast--(OCoLC)fst01234953; New York (State)--New York.--fast--(OCoLC)fst01204333																																														
KUPK9ARB	newspaperArticle	1861	Day of Atonement	37.540725	-77.436048		Day of Atonement	The Daily Dispatch		2157-1260		http://chroniclingamerica.loc.gov/lccn/sn84024738/1861-09-14/ed-1/seq-2/#date1=1836&index=2&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=Kipur+Yom&proxdistance=5&state=&rows=20&ortext=&proxtext=&phrasetext=yom+kipur&andtext=&dateFilterType=range&page=1		1861-09-14	6/20/16 20:47	6/20/16 20:48	6/20/16 20:47													"Richmond, Virginia"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1861_The daily dispatch.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/P8XA9RED/seq-2.html			Richmond (Va.)--Newspapers.; Virginia--Richmond.--fast--(OCoLC)fst01205345																																														
N8GXBAQH	newspaperArticle	1854	Day of Atonement	38.907192	-77.036871		Day of Atonement	Daily Evening Star		2328-5907		http://chroniclingamerica.loc.gov/lccn/sn83045461/1854-10-02/ed-1/seq-3/#date1=1836&index=3&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=Kipur+Yom&proxdistance=5&state=&rows=20&ortext=&proxtext=&phrasetext=yom+kipur&andtext=&dateFilterType=range&page=1		1854-10-02	6/20/16 20:48	6/20/16 20:48	6/20/16 20:48													"Washington, D.C."	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1854_Daily evening star.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/RGFH3U8D/seq-3.html			Washington (D.C.)--fast--(OCoLC)fst01204505; Washington (D.C.)--Newspapers.																																														
D33VKDEF	newspaperArticle	1862	Day of Atonement	34.246539	-80.607024		The Jewish Day of Atonement	The Camden Confederate		2379-500X		http://chroniclingamerica.loc.gov/lccn/sn85042595/1862-10-10/ed-1/seq-2/#date1=1836&index=2&date2=1865&searchType=advanced&language=&sequence=0&lccn=&words=Atonement+Day+day&proxdistance=5&state=&rows=50&ortext=&proxtext=&phrasetext=day+of+atonement&andtext=&dateFilterType=range&page=1		1862-10-10	6/20/16 20:51	6/20/16 20:51	6/20/16 20:51													"Camden, South Carolina"	eng					chroniclingamerica.loc.gov				/Users/lauranewmaneckstein/Documents/Zotero/1862_The Camden confederate.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/4X5AEXQW/seq-2.html			1861-1865--Newspapers.; Camden (S.C.)--Newspapers.; Kershaw County (S.C.)--Newspapers.; South Carolina--Camden.--fast--(OCoLC)fst01210655; South Carolina.--fast--(OCoLC)fst01204600; South Carolina--History--Civil War; South Carolina--Kershaw County.--fast--(OCoLC)fst01214393; United States.--fast--(OCoLC)fst01204155; United States--History--Civil War																																														
