title,publication_frequency,url,place_of_publication,publisher,lccn_number,oclc_number,primary_language,start_year,end_year,city,county,state,latitude,longitude,place_0,subject_0,subject_1,note_0,note_1,note_2,note_3,the_geom,cartodb_id,created_at,updated_at
Jewish Advance,,http://chroniclingamerica.loc.gov/lccn/sn2004060498,Chicago,M. Stern,sn2004060498,56557961,English,1985-01-01 00:00:00+00,,Chicago,Cook,Illinois,41.878114,-87.629798,Illinois--Cook--Chicago,Chicago (Ill.)--Newspapers.,Cook County (Ill.)--Newspapers.,,,,,0101000020E61000008445459C4EE855C07214200A66F04440,453,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Izraelitң = The Israelite,Monthly,http://chroniclingamerica.loc.gov/lccn/sn92063919,"Providence, R.I.",Israelite Pub. Co.,sn92063919,25119163,English,1971-01-01 00:00:00+00,1999-01-01 00:00:00+00,Boston,Suffolk,Massachusetts,42.360083,-71.05888,Massachusetts--Suffolk--Boston,Boston (Mass.)--Newspapers.,Jewish newspapers--Massachusetts.,In Yiddish and English.,"Published simultaneously in Boston, Mass., <Aug. 2, 1895>.","Suspended with Nov. 29, 1895 issue; resumed with Jan. 1896 issue.",,0101000020E6100000DD989EB0C4C351C03C6C2233172E4540,478,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Washington Examiner,Monthly,http://chroniclingamerica.loc.gov/lccn/sn95068805,"Seattle, Wash.",Crown Enterprises,sn95068805,32473600,English,1960-01-01 00:00:00+00,1969-01-01 00:00:00+00,Seattle,King,Washington,47.60621,-122.332071,Washington--King--Seattle,Jewish newspapers--Washington (State),,,,,,0101000020E6100000CD3CB9A640955EC00B410E4A98CD4740,17,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Post And Opinion,Weekly,http://chroniclingamerica.loc.gov/lccn/sn94084112,"New York, N.Y.",Gabriel Cohen,sn94084112,32406534,English,1966-01-01 00:00:00+00,1974-01-01 00:00:00+00,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--United States.,,Microfilm.,,,,0101000020E6100000282D5C56618052C0588E90813C5B4440,35,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Times Of South Jersey,,http://chroniclingamerica.loc.gov/lccn/00236841,"Pleasantville, N.J.",Jewish Times,236841.0,44390746,English,2000-01-01 00:00:00+00,,Atlantic City,Atlantic,New Jersey,39.364283,-74.422927,New Jersey--Atlantic--Atlantic City,Jewish newspapers--New Jersey.,Jewish newspapers.--fast--(OCoLC)fst00982872,,,,,0101000020E61000001B66683C119B52C090BE49D3A0AE4340,98,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Voice,Weekly,http://chroniclingamerica.loc.gov/lccn/sn94090475,St. Louis [Mo.],Jewish Voice Co.,sn94090475,32620121,English,1888-01-01 00:00:00+00,1933-01-01 00:00:00+00,Saint Louis,,Missouri,38.627003,-90.199404,Missouri--Saint Louis,Jewish newspapers--Missouri.,Jewish newspapers.--fast--(OCoLC)fst00982872,"""Weekly newspaper devoted to the cause of Judaism and of Jewish people.""",In English and Yiddish.,Microfilm.,,0101000020E610000043ACFE08C38C56C038BF61A241504340,182,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Community Council Commentator,Biweekly,http://chroniclingamerica.loc.gov/lccn/sn95026723,"[Jacksonville, Fla.]",Jacksonville Jewish Community Council,sn95026723,33132947,English,1900-01-01 00:00:00+00,1939-01-01 00:00:00+00,Jacksonville,Duval,Florida,30.332184,-81.655651,Florida--Duval--Jacksonville,Duval County (Fla.)--Newspapers.,Jacksonville (Fla.)--Newspapers.,,,,,0101000020E6100000BEA59C2FF66954C02541B8020A553E40,255,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
EkңSpres Express,Weekly,http://chroniclingamerica.loc.gov/lccn/sn94092729,Chicago [Ill.],Express Pub. Co.,sn94092729,32785329,English,1922-01-01 00:00:00+00,1924-01-01 00:00:00+00,Chicago,Cook,Illinois,41.878114,-87.629798,Illinois--Cook--Chicago,Chicago (Ill.)--Newspapers.,Jewish newspapers--United States.,"""Jewish-English national weekly publication.""",In Yiddish and English.,Microfilm.,,0101000020E61000008445459C4EE855C07214200A66F04440,305,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Abend TsaytңUng = Die Abend Zeitung,Daily,http://chroniclingamerica.loc.gov/lccn/sn93062917,New York [N.Y.],Abend Zeitung Ass'n.,sn93062917,28031866,Yiddish,1913-01-01 00:00:00+00,1915-01-01 00:00:00+00,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--New York (State)--New York.,Jewish newspapers.--fast--(OCoLC)fst00982872,In Yiddish.,,,,0101000020E6100000282D5C56618052C0588E90813C5B4440,447,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Ohio Jewish Chronicle,Weekly,http://chroniclingamerica.loc.gov/lccn/sn94080904,"Columbus, Ohio",[s.n.],sn94080904,32261086,English,1982-01-01 00:00:00+00,,Columbus,Franklin,Ohio,39.961176,-82.998794,Ohio--Franklin--Columbus,Columbus (Ohio)--Newspapers.,Franklin County (Ohio)--Newspapers.,"Description based on: Mar. 3, 1922.",Microfilm.,,,0101000020E61000003A5CAB3DECBF54C09DD9AED007FB4340,435,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Guardian,Weekly,http://chroniclingamerica.loc.gov/lccn/sn92060505,"New York, N.Y.",Jewish Guardian,sn92060505,26626682,English,1800-01-01 00:00:00+00,1999-01-01 00:00:00+00,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--New York (State)--New York.,New York (N.Y.)--Newspapers.,,,,,0101000020E6100000282D5C56618052C0588E90813C5B4440,470,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Vara = (The Stick),Weekly,http://chroniclingamerica.loc.gov/lccn/sn91066432,"New York, N.Y.",Sephardic Press,sn91066432,23600515,English,1900-01-01 00:00:00+00,1919-01-01 00:00:00+00,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--United States.,New York (N.Y.)--Newspapers.,Also issued on microfilm from Yeshiva University.,"English title appears only on Sept. 1, 1922 issue.","Text in Ladino (Hebrew script); includes English section, beginning Aug. 31, 1934.",,0101000020E6100000282D5C56618052C0588E90813C5B4440,475,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Tog = The Day,Daily,http://chroniclingamerica.loc.gov/lccn/sn83045859,"New York, N.Y.",Day Pub. Co.,sn83045859,10053465,English,1938-01-01 00:00:00+00,1953-01-01 00:00:00+00,New York,New York,New York,40.712784,-74.005941,New York--New York--New York,Jewish newspapers--United States.,Jewish newspapers.--fast--(OCoLC)fst00982872,"""The National Jewish daily.""",In Yiddish and English.,,,0101000020E6100000282D5C56618052C0588E90813C5B4440,512,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Western Jewish World,Weekly,http://chroniclingamerica.loc.gov/lccn/sn96064442,"Denver, Colo.",M. Weitz,sn96064442,35309362,English,1986-01-01 00:00:00+00,1989-01-01 00:00:00+00,Denver,Denver,Colorado,39.739236,-104.990251,Colorado--Denver--Denver,Jewish newspapers--Rocky Mountains Region.,Jewish newspapers--West (U.S.),English and Yiddish.,,,,0101000020E610000034F5BA45603F5AC04F0306499FDE4340,557,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Ledger,Weekly,http://chroniclingamerica.loc.gov/lccn/sn93054089,"Hartford, Conn.",Jewish Ledger Publications,sn93054089,28642011,English,1929-01-01 00:00:00+00,1945-01-01 00:00:00+00,Hartford,Hartford,Connecticut,41.763711,-72.685093,Connecticut--Hartford--Hartford,Bridgeport (Conn.)--Newspapers.,Connecticut--Bridgeport.--fast--(OCoLC)fst01209541,Available on microfilm from American Jewish Periodicals Center.,"Combines Hartford, New Haven, Bridgeport and Springfield eds.",,,0101000020E6100000FC6D4F90D82B52C0384C3448C1E14440,617,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
Jewish Floridian Of Pinellas County,Biweekly,http://chroniclingamerica.loc.gov/lccn/sn00229554,"Miami, Fla.",Fred K. Shochet,sn00229554,44628627,English,2000-01-01 00:00:00+00,2009-01-01 00:00:00+00,Clearwater,Pinellas,Florida,27.965853,-82.800103,Florida--Pinellas--Clearwater,Clearwater (Fla.)--Newspapers.,Florida--Clearwater.--fast--(OCoLC)fst01215622,"Latest issue consulted: Vol. 7, no. 13 (June 27, 1986).",Microfilm.,,,0101000020E61000009D9B36E334B354C055BE672442F73B40,631,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
American Jewish Review,Monthly,http://chroniclingamerica.loc.gov/lccn/sn95071204,"Atlanta, Ga.",Albert Herskowitz,sn95071204,32610393,English,1978-01-01 00:00:00+00,,Atlanta,Fulton,Georgia,33.748995,-84.387982,Georgia--Fulton--Atlanta,Atlanta (Ga.)--Newspapers.,Buffalo (N.Y.)--Newspapers.,"""Tricity weekly for Buffalo, Rochester, Syracuse and American Jewry,"" <1917>.","Description based on: Vol. 3, no. 1 (Oct. 1913).","Published at Buffalo, N.Y., 1917-1920.",,0101000020E6100000F25B74B2D41855C00BEF7211DFDF4040,673,2015-02-21 00:22:21.62594+00,2015-02-21 00:22:21.62594+00
