Key,Item Type,Publication Year,Holiday,latitude,longitude,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
4VXAFWQ5,newspaperArticle,1854,Passover,38.907192,-77.036871,,The Feast of Unleavened Bread,Daily National Era,,None,,http://chroniclingamerica.loc.gov/lccn/sn86053546/1854-04-15/ed-1/seq-2/#date1=1836&index=3&date2=1865&searchType=advanced&language=&sequence=0&words=Passover&proxdistance=5&sort=relevance&state=&state=Alabama&state=Arizona&state=Arkansas&state=California&state=Colorado&state=Connecticut&state=District+of+Columbia&state=Florida&state=Georgia&state=Hawaii&state=Idaho&state=Illinois&state=Indiana&state=Iowa&state=Kansas&state=Kentucky&state=Louisiana&state=Maryland&state=Massachusetts&state=Michigan&state=Minnesota&state=Mississippi&state=Missouri&state=Montana&state=Nebraska&state=Nevada&state=New+Mexico&state=New+York&state=North+Carolina&state=North+Dakota&state=Ohio&state=Oklahoma&state=Oregon&state=Pennsylvania&state=Piedmont&state=South+Carolina&state=South+Dakota&state=Tennessee&state=Texas&state=Utah&state=Vermont&state=Virginia&state=Washington&state=West+Virginia&rows=20&ortext=passover%2C+pesach%2C+matzah%2C+matzoh%2C+matza%2C+matzo&proxtext=&phrasetext=&andtext=&dateFilterType=yearRange&page=20,,1854-04-15,6/20/16 3:29,6/20/16 3:30,6/20/16 3:29,,,,,,,,,,,,,"Washington, D.C.",eng,,,,,chroniclingamerica.loc.gov,,,,/Users/lauranewmaneckstein/Documents/Zotero/1854_Daily national era.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/FEBSFQ83/seq-2.html,,,African Americans.--fast--(OCoLC)fst00799558; African Americans--Washington (D.C.)--Newspapers.; Washington (D.C.)--fast--(OCoLC)fst01204505; Washington (D.C.)--Newspapers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZEUCD877,newspaperArticle,1861,Passover,39.290385,-76.612189,,The Passover,The Daily Exchange,,2378-0509,,http://chroniclingamerica.loc.gov/lccn/sn83009573/1861-03-26/ed-1/seq-4/#date1=1836&index=13&date2=1865&searchType=advanced&language=&sequence=0&words=PASSOVER+Passover&proxdistance=5&sort=relevance&state=&state=Alabama&state=Arizona&state=Arkansas&state=California&state=Colorado&state=Connecticut&state=District+of+Columbia&state=Florida&state=Georgia&state=Hawaii&state=Idaho&state=Illinois&state=Indiana&state=Iowa&state=Kansas&state=Kentucky&state=Louisiana&state=Maryland&state=Massachusetts&state=Michigan&state=Minnesota&state=Mississippi&state=Missouri&state=Montana&state=Nebraska&state=Nevada&state=New+Mexico&state=New+York&state=North+Carolina&state=North+Dakota&state=Ohio&state=Oklahoma&state=Oregon&state=Pennsylvania&state=Piedmont&state=South+Carolina&state=South+Dakota&state=Tennessee&state=Texas&state=Utah&state=Vermont&state=Virginia&state=Washington&state=West+Virginia&rows=20&ortext=passover%2C+pesach%2C+matzah%2C+matzoh%2C+matza%2C+matzo&proxtext=&phrasetext=&andtext=&dateFilterType=yearRange&page=21,,1861-03-26,6/20/16 3:32,6/20/16 3:32,6/20/16 3:32,,,,,,,,,,,,,"Baltimore, Maryland",eng,,,,,chroniclingamerica.loc.gov,,,,/Users/lauranewmaneckstein/Documents/Zotero/1861_The Passover_2.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/FM7IXQEH/seq-4.html,,,Baltimore (Md.)--Newspapers.; Maryland--Baltimore.--fast--(OCoLC)fst01204292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CXIPFVG4,newspaperArticle,1838,Passover,40.712784,-74.005941,,"The Jewish Feast of Pesach, or the Passover",Morning Herald,,None,,http://chroniclingamerica.loc.gov/lccn/sn83030312/1838-04-16/ed-1/seq-2/#date1=1836&index=2&date2=1865&searchType=advanced&language=&sequence=0&words=Pesach+pesach&proxdistance=5&state=&state=Alabama&state=Arizona&state=Arkansas&state=California&state=Colorado&state=Connecticut&state=District+of+Columbia&state=Florida&state=Georgia&state=Hawaii&state=Idaho&state=Illinois&state=Indiana&state=Iowa&state=Kansas&state=Kentucky&state=Louisiana&state=Maryland&state=Massachusetts&state=Michigan&state=Minnesota&state=Mississippi&state=Missouri&state=Montana&state=Nebraska&state=Nevada&state=New+Mexico&state=New+York&state=North+Carolina&state=North+Dakota&state=Ohio&state=Oklahoma&state=Oregon&state=Pennsylvania&state=Piedmont&state=South+Carolina&state=South+Dakota&state=Tennessee&state=Texas&state=Utah&state=Vermont&state=Virginia&state=Washington&state=West+Virginia&rows=20&ortext=passover%2C+pesach%2C+matzah%2C+matzoh%2C+matza%2C+matzo&proxtext=&phrasetext=&andtext=&dateFilterType=yearRange&page=1,,1838-04-16,6/19/16 19:46,6/19/16 19:47,6/19/16 19:46,,,,,,,,,,,,,"New York, N.Y",eng,,,,,chroniclingamerica.loc.gov,,,,/Users/lauranewmaneckstein/Documents/Zotero/1838_Morning herald_2.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/ZGMRWX2I/seq-2.html,,,New York County (N.Y.)--Newspapers.; New York (N.Y.)--Newspapers.; New York (State)--New York County.--fast--(OCoLC)fst01234953; New York (State)--New York.--fast--(OCoLC)fst01204333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPP9XNSB,newspaperArticle,1861,Passover,34.178172,-82.379015,,The Jewish Passover,Abbeville Press,,2373-3535,,http://chroniclingamerica.loc.gov/lccn/sn85042527/1861-04-05/ed-1/seq-1/#date1=1836&index=5&date2=1865&searchType=advanced&language=&sequence=0&words=Passover&proxdistance=5&state=&state=Alabama&state=Arizona&state=Arkansas&state=California&state=Colorado&state=Connecticut&state=District+of+Columbia&state=Florida&state=Georgia&state=Hawaii&state=Idaho&state=Illinois&state=Indiana&state=Iowa&state=Kansas&state=Kentucky&state=Louisiana&state=Maryland&state=Massachusetts&state=Michigan&state=Minnesota&state=Mississippi&state=Missouri&state=Montana&state=Nebraska&state=Nevada&state=New+Mexico&state=New+York&state=North+Carolina&state=North+Dakota&state=Ohio&state=Oklahoma&state=Oregon&state=Pennsylvania&state=Piedmont&state=South+Carolina&state=South+Dakota&state=Tennessee&state=Texas&state=Utah&state=Vermont&state=Virginia&state=Washington&state=West+Virginia&rows=20&ortext=passover%2C+pesach%2C+matzah%2C+matzoh%2C+matza%2C+matzo&proxtext=&phrasetext=&andtext=&dateFilterType=yearRange&page=1,,1861-04-05,6/19/16 19:49,6/19/16 19:49,6/19/16 19:49,,,,,,,,,,,,,"Abbeville, South Carolina",eng,,,,,chroniclingamerica.loc.gov,,,,/Users/lauranewmaneckstein/Documents/Zotero/1861_Abbeville press.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/3UEI82UE/seq-1.html,,,Abbeville County (S.C.)--Newspapers.; Abbeville (S.C.)--Newspapers.; South Carolina--Abbeville County.--fast--(OCoLC)fst01209948; South Carolina--Abbeville.--fast--(OCoLC)fst01206845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUVGMFA7,newspaperArticle,1865,Passover,38.804836,-77.046921,,[Passover Notice],Alexandria Gazette,,1946-6153,,http://chroniclingamerica.loc.gov/lccn/sn85025007/1865-04-12/ed-1/seq-3/#date1=1836&index=8&date2=1865&searchType=advanced&language=&sequence=0&words=Passover&proxdistance=5&state=&state=Alabama&state=Arizona&state=Arkansas&state=California&state=Colorado&state=Connecticut&state=District+of+Columbia&state=Florida&state=Georgia&state=Hawaii&state=Idaho&state=Illinois&state=Indiana&state=Iowa&state=Kansas&state=Kentucky&state=Louisiana&state=Maryland&state=Massachusetts&state=Michigan&state=Minnesota&state=Mississippi&state=Missouri&state=Montana&state=Nebraska&state=Nevada&state=New+Mexico&state=New+York&state=North+Carolina&state=North+Dakota&state=Ohio&state=Oklahoma&state=Oregon&state=Pennsylvania&state=Piedmont&state=South+Carolina&state=South+Dakota&state=Tennessee&state=Texas&state=Utah&state=Vermont&state=Virginia&state=Washington&state=West+Virginia&rows=20&ortext=passover%2C+pesach%2C+matzah%2C+matzoh%2C+matza%2C+matzo&proxtext=&phrasetext=&andtext=&dateFilterType=yearRange&page=1,,1865-04-12,6/19/16 19:50,6/19/16 20:38,6/19/16 19:50,,,,,,,,,,,,,"Alexandria, Virginia",eng,,,,,chroniclingamerica.loc.gov,,,,/Users/lauranewmaneckstein/Documents/Zotero/1865_Alexandria gazette.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/FM8GP2ME/seq-3.html,,,Alexandria County (Va.)--Newspapers.; Alexandria (Va.)--Newspapers.; Virginia--Alexandria County.--fast--(OCoLC)fst01225052; Virginia--Alexandria.--fast--(OCoLC)fst01206236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VSB5GSI5,newspaperArticle,1844,Passover,40.712784,-74.005941,,___ ____,The New York Herald,,None,,http://chroniclingamerica.loc.gov/lccn/sn83030313/1844-03-22/ed-1/seq-4/#date1=1836&index=14&date2=1865&searchType=advanced&language=&sequence=0&words=Passover&proxdistance=5&sort=relevance&state=&state=Alabama&state=Arizona&state=Arkansas&state=California&state=Colorado&state=Connecticut&state=District+of+Columbia&state=Florida&state=Georgia&state=Hawaii&state=Idaho&state=Illinois&state=Indiana&state=Iowa&state=Kansas&state=Kentucky&state=Louisiana&state=Maryland&state=Massachusetts&state=Michigan&state=Minnesota&state=Mississippi&state=Missouri&state=Montana&state=Nebraska&state=Nevada&state=New+Mexico&state=New+York&state=North+Carolina&state=North+Dakota&state=Ohio&state=Oklahoma&state=Oregon&state=Pennsylvania&state=Piedmont&state=South+Carolina&state=South+Dakota&state=Tennessee&state=Texas&state=Utah&state=Vermont&state=Virginia&state=Washington&state=West+Virginia&rows=20&ortext=passover%2C+pesach%2C+matzah%2C+matzoh%2C+matza%2C+matzo&proxtext=&phrasetext=&andtext=&dateFilterType=yearRange&page=21,,1844-03-22,6/20/16 3:33,6/20/16 3:36,6/20/16 3:33,,,,,,,,,,,,,"New York, N.Y",eng,,,,,chroniclingamerica.loc.gov,,,,/Users/lauranewmaneckstein/Documents/Zotero/1844_The New York herald.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/N35BHX7B/seq-4.html,,,New York County (N.Y.)--Newspapers.; New York (N.Y.)--Newspapers.; New York (State)--New York County.--fast--(OCoLC)fst01234953; New York (State)--New York.--fast--(OCoLC)fst01204333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advertisement,,,,
B3AJ9IDA,newspaperArticle,1861,Passover,38.907192,-77.036871,,The Feast of the Passover,The National Republican,,2158-8899,,http://chroniclingamerica.loc.gov/lccn/sn82014760/1861-03-28/ed-1/seq-3/#date1=1836&index=11&date2=1865&searchType=advanced&language=&sequence=0&words=Passover&proxdistance=5&state=&state=Alabama&state=Arizona&state=Arkansas&state=California&state=Colorado&state=Connecticut&state=District+of+Columbia&state=Florida&state=Georgia&state=Hawaii&state=Idaho&state=Illinois&state=Indiana&state=Iowa&state=Kansas&state=Kentucky&state=Louisiana&state=Maryland&state=Massachusetts&state=Michigan&state=Minnesota&state=Mississippi&state=Missouri&state=Montana&state=Nebraska&state=Nevada&state=New+Mexico&state=New+York&state=North+Carolina&state=North+Dakota&state=Ohio&state=Oklahoma&state=Oregon&state=Pennsylvania&state=Piedmont&state=South+Carolina&state=South+Dakota&state=Tennessee&state=Texas&state=Utah&state=Vermont&state=Virginia&state=Washington&state=West+Virginia&rows=20&ortext=passover%2C+pesach%2C+matzah%2C+matzoh%2C+matza%2C+matzo&proxtext=&phrasetext=&andtext=&dateFilterType=yearRange&page=1,,1861-03-28,6/19/16 19:53,6/19/16 19:53,6/19/16 19:53,,,,,,,,,,,,,"Washington, D.C.",eng,,,,,chroniclingamerica.loc.gov,,,,/Users/lauranewmaneckstein/Documents/Zotero/1861_The national Republican.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/Q6WX94AQ/seq-3.html,,,Washington (D.C.)--fast--(OCoLC)fst01204505; Washington (D.C.)--Newspapers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIRVTQRF,newspaperArticle,1848,Passover,40.982829,-84.199391,,The Jewish Passover,The Kalida Venture,,2373-213X,,http://chroniclingamerica.loc.gov/lccn/sn85038078/1848-05-02/ed-1/seq-1/#date1=1836&index=13&date2=1865&searchType=advanced&language=&sequence=0&words=Passover&proxdistance=5&state=&state=Alabama&state=Arizona&state=Arkansas&state=California&state=Colorado&state=Connecticut&state=District+of+Columbia&state=Florida&state=Georgia&state=Hawaii&state=Idaho&state=Illinois&state=Indiana&state=Iowa&state=Kansas&state=Kentucky&state=Louisiana&state=Maryland&state=Massachusetts&state=Michigan&state=Minnesota&state=Mississippi&state=Missouri&state=Montana&state=Nebraska&state=Nevada&state=New+Mexico&state=New+York&state=North+Carolina&state=North+Dakota&state=Ohio&state=Oklahoma&state=Oregon&state=Pennsylvania&state=Piedmont&state=South+Carolina&state=South+Dakota&state=Tennessee&state=Texas&state=Utah&state=Vermont&state=Virginia&state=Washington&state=West+Virginia&rows=20&ortext=passover%2C+pesach%2C+matzah%2C+matzoh%2C+matza%2C+matzo&proxtext=&phrasetext=&andtext=&dateFilterType=yearRange&page=1,,1848-05-02,6/19/16 19:54,6/19/16 19:55,6/19/16 19:54,,,,,,,,,,,,,"Kalida, Ohio",eng,,,,,chroniclingamerica.loc.gov,,,,/Users/lauranewmaneckstein/Documents/Zotero/1848_The Kalida venture.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/PZX8JVP6/seq-1.html,,,Kalida (Ohio)--Newspapers.; Ohio--Kalida.--fast--(OCoLC)fst01867539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tales, Sketches, &C",,,,
NUVH6CXF,newspaperArticle,1859,Passover,37.540725,-77.436048,,The Jewish Passover and the Christian Passion Week,The Daily Dispatch,,2157-1260,,http://chroniclingamerica.loc.gov/lccn/sn84024738/1859-04-23/ed-1/seq-2/#date1=1836&index=16&date2=1865&searchType=advanced&language=&sequence=0&words=Passover+passover&proxdistance=5&state=&state=Alabama&state=Arizona&state=Arkansas&state=California&state=Colorado&state=Connecticut&state=District+of+Columbia&state=Florida&state=Georgia&state=Hawaii&state=Idaho&state=Illinois&state=Indiana&state=Iowa&state=Kansas&state=Kentucky&state=Louisiana&state=Maryland&state=Massachusetts&state=Michigan&state=Minnesota&state=Mississippi&state=Missouri&state=Montana&state=Nebraska&state=Nevada&state=New+Mexico&state=New+York&state=North+Carolina&state=North+Dakota&state=Ohio&state=Oklahoma&state=Oregon&state=Pennsylvania&state=Piedmont&state=South+Carolina&state=South+Dakota&state=Tennessee&state=Texas&state=Utah&state=Vermont&state=Virginia&state=Washington&state=West+Virginia&rows=20&ortext=passover%2C+pesach%2C+matzah%2C+matzoh%2C+matza%2C+matzo&proxtext=&phrasetext=&andtext=&dateFilterType=yearRange&page=1,,1859-04-23,6/19/16 19:56,6/19/16 19:57,6/19/16 19:56,,,,,,,,,,,,,"Richmond, Virginia",eng,,,,,chroniclingamerica.loc.gov,,,,/Users/lauranewmaneckstein/Documents/Zotero/1859_The daily dispatch.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/48SRQEPG/seq-2.html,,,Richmond (Va.)--Newspapers.; Virginia--Richmond.--fast--(OCoLC)fst01205345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UQMT3T9H,newspaperArticle,1861,Passover,36.162664,-86.781602,,The Jewish Passover,Nashville Union and American,,2166-7659,,http://chroniclingamerica.loc.gov/lccn/sn85038518/1861-03-28/ed-1/seq-3/#date1=1836&index=19&date2=1865&searchType=advanced&language=&sequence=0&words=Passover&proxdistance=5&state=&state=Alabama&state=Arizona&state=Arkansas&state=California&state=Colorado&state=Connecticut&state=District+of+Columbia&state=Florida&state=Georgia&state=Hawaii&state=Idaho&state=Illinois&state=Indiana&state=Iowa&state=Kansas&state=Kentucky&state=Louisiana&state=Maryland&state=Massachusetts&state=Michigan&state=Minnesota&state=Mississippi&state=Missouri&state=Montana&state=Nebraska&state=Nevada&state=New+Mexico&state=New+York&state=North+Carolina&state=North+Dakota&state=Ohio&state=Oklahoma&state=Oregon&state=Pennsylvania&state=Piedmont&state=South+Carolina&state=South+Dakota&state=Tennessee&state=Texas&state=Utah&state=Vermont&state=Virginia&state=Washington&state=West+Virginia&rows=20&ortext=passover%2C+pesach%2C+matzah%2C+matzoh%2C+matza%2C+matzo&proxtext=&phrasetext=&andtext=&dateFilterType=yearRange&page=1,,1861-03-28,6/19/16 19:58,6/19/16 19:59,6/19/16 19:58,,,,,,,,,,,,,"Nashville, Tennessee",eng,,,,,chroniclingamerica.loc.gov,,,,/Users/lauranewmaneckstein/Documents/Zotero/1861_Nashville union and American.pdf; /Users/lauranewmaneckstein/Library/Application Support/Zotero/Profiles/n03l5k21.default/zotero/storage/FUCGAACJ/seq-3.html,,,Davidson County (Tenn.)--Newspapers.; Nashville (Tenn.)--Newspapers.; Tennessee--Davidson County.--fast--(OCoLC)fst01205346; Tennessee--Nashville.--fast--(OCoLC)fst01204195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
